id_avis,id_note,date_publication,contenu_avis,inconvenient,avantage,id_entreprise
19,29,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,,,1
20,15,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,,,1
21,17,13/12/2019,Je travaille chez Atos à temps plein,rémunération diversité missions evolution salariale,equilibre pro perso ambiance sein équipes,49
22,17,12/12/2019,Je travaille chez Atos à temps plein depuis plus d'un an,manque marchés manque primes,lieux gens equipement ecadrement mangement,49
23,15,10/12/2019,Je travaille chez Atos à temps plein,treiziemes mois prime intéressement,très beaux projets informatique,49
24,21,10/12/2019,J'ai travaillé chez Atos à temps partiel,rythme très haut,technique salaire temps vie gout,49
25,17,09/12/2019,J'ai travaillé chez Atos à temps plein,peu marge négociations,bonne ambiance travail,49
26,17,09/12/2019,J'ai travaillé chez Atos à temps plein plus de 10 ans,avances frais rembourseront peut jour a donné tel portable pro,skype payait voyages europe allemagne suisse canada angleterre espagne,49
27,17,04/12/2019,Je travaille chez Atos à temps plein,peu projets innovant beaucoup plus maintenance dapplications,plein mission particuliers worldline,49
28,21,02/12/2019,J'ai travaillé chez Atos à temps plein plus de 10 ans,course rentabilité perpétuels changements managers suivi consultants,taille groupe missions variées,49
29,17,27/11/2019,J'ai travaillé chez Atos à temps plein,petit salaire évolution quasi nulle localisation bureaux,technologie pointe hpc manager directe accessible,49
30,15,19/11/2019,Je travaille chez Atos à temps plein depuis plus de 10 ans,loin défense assistantes bien considérées moins moins présentes salaires etam assistantes cadres élévés daugmentation régulière sauf grâce rp participation intéressement très faible mini légal grand groupe jours cp cet rtt chèque vacances culture noel si atos international,grande entreprise mondiale facilité jeunes diplômés bons stages salaires attractifs ingénieurs cadres moins postes dassistantes evolution interne ceux considérés comme talents siège moderne cantine salle sport tramway min pied très belle expérience stagiaires alternants,49
31,29,18/11/2019,Je travaille chez Atos à temps plein depuis plus d'un an,rien a signaler instant,mission ambiance hiérarchie direction implication,49
32,13,17/11/2019,Je travaille chez Atos à temps plein,gestion carière prime formation ni suivi mission,ya davantage atos,49
33,15,16/11/2019,Je travaille chez Atos à temps plein depuis plus d'un an,salaires dessous marché,projets sympas bonnes conditions travail trop stress,49
34,17,16/11/2019,J'ai travaillé chez Atos à temps plein plus de 3 ans,manque communication managériale,missions grande envergures,49
35,17,13/11/2019,Je travaille chez Atos à temps plein depuis plus de 3 ans,produit gros pbl dorganisation,payer bien comissionnements tremplin jeunes,49
36,15,12/11/2019,J'ai travaillé chez Atos à temps plein plus de 5 ans,peu davantages périphériques lourdeur administrative peu dagressivité commerciale,taille projets ambiance équipes excellentes salaire correct,49
37,21,12/11/2019,J'ai travaillé chez Atos à temps plein,augmentation salaire,cohésion equipe projet inintéressant,49
38,21,10/11/2019,Je travaille chez Atos à temps plein depuis plus de 3 ans,mauvaise ambiances argent avant aspirations salarié,missions plus moins intéressantes,49
39,17,07/11/2019,Je travaille chez Atos à temps plein,salaires évolutions lentes,grande boite dit reconnue mondialement,49
40,17,04/11/2019,Je travaille chez Atos à temps plein depuis moins d'un an,suivi mission concurrence entre différences agences,ambiance resto proximité client,49
41,21,21/05/2019,Je travaille chez Atos à temps plein depuis moins d'un an,ressources humaines empathie inexistantes,missions peuvent fois intéressantes,49
42,21,24/06/2015,Je travaille chez Atos à depuis plus d'un an,comme toute ssii faut savoir dire non missions voulez sinon insistent,si réussissez avoir bonne mission bon salaire dentré cest bonne ssii pourriez avoir pc portable datos transport commun si mission,49
43,17,03/01/2015,Je travaille chez Atos à temps plein depuis plus de 5 ans,salaire nest conséquent heure parle jai pris large cétait euros annuel,resté longtemps savoir si cela maurait permis davoir avantages particulier pense quon a tous chance dobtenir bonus,49
44,21,26/06/2019,Je travaille chez Atos Consulting à temps plein depuis moins d'un an,suivi ni écoute management changement mission malgré plusieurs mois projet peu intéressant contexte difficile,mutuelle salaire correct avantages,73
45,17,16/06/2019,Je travaille chez Atos Consulting à temps plein depuis plus d'un an,manque perspectives d’évolution carrière,équilibre vie privée vie professionnelle,73
46,15,13/03/2019,J'ai travaillé chez Atos Consulting à temps plein,toujours suffisamment missions intéressantes consultants,managers souvent compétents plupart idéal junior faire apprentissage conseil renom groupe atos,73
47,29,20/02/2019,J'ai travaillé chez Atos Consulting à temps plein moins d'un an,top management distant plus intéressant davoir rapports plus proches,equipe premier salaire junior,73
48,15,14/02/2019,Je travaille chez Atos Consulting à temps plein,beaucoup déplacement changement régulier mission donc peu stabilité,salaire attractif missions intéressantes variées,73
49,17,12/02/2019,Je travaille chez Atos Consulting à temps plein,stratégie organisation interne positionnement conseil sein groupe,diversité collaborateurs ambiance travail,73
50,13,15/11/2018,Je travaille chez Atos Consulting à temps plein,lourdeur groupe absence totale stratégie dautonomie,cherche encore toujours,73
51,13,09/09/2018,J'ai travaillé chez Atos Consulting à temps plein plus de 5 ans,presque tout moins moins clients principal client situation très délicate difficile projeter plus mois,jours congés ans fêtes fin dannée mai pont viennoiseries deux fois semaine bureau nyon bien placé ceux viennent voiture plein places parking bon deuxième pilier apéros presque tous vendredi soir fêter départs,73
52,15,27/07/2018,Je travaille chez Atos Consulting à temps plein,rémunération écart compétence entre employées peu visibilité projection sein groupe,ouvert hierarchie plate clients grands portefeuilles connaissance si,73
53,13,08/06/2018,Je travaille chez Atos Consulting à temps plein depuis plus de 10 ans,depuis rachat ctp atos division atos consulting perdition employés fuient font licencier vont faire licencier passés suisse voir moins ambiance forcément conséquenceset cest franchement fin a moyen terme bureau nyon devrait fusionner celui renens jimagine,jours congé supplémentaires wellness team events bien plus plus rares petites attentions bureau pains chocolat fruits boissons etc,73
54,29,04/07/2019,Je travaille chez Atos-Syntel à temps plein depuis plus d'un an,beaucoup,excellente opportunité dapprentissage progression juniors,151
55,29,17/10/2016,Je travaille chez Atos-Syntel à temps plein,vois vraiment dinconvenient tout suite maintenant peut venir vite,pense cet avis doit etre positif car cest belle boite,151
56,13,21/12/2016,J'ai travaillé chez Atos Medical à temps plein plus d'un an,trop long énumérer tant cette société manager sous aspect financier sans tenir compte reste plus particulièrement patients stagnera,si aimez gens sapproprient succès idées allezy plan marketing aucun dossier remboursement cours fraude sécurité sociale faisant rembourser nouvelles prothèses phonatoires anciennes références elles droit detre remboursées,220
57,29,04/12/2019,J'ai travaillé chez Dassault Systemes à temps plein,ny a dinconvenients,collègues tres smart formation permanente process efficaces fléxibilité rémuneration avantages très attractifs,234
58,15,21/11/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 10 ans,entreprise situe a vélizy,entreprise propose bons avantages sociaux,234
59,15,13/10/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,beaucoup politique ralentissent prise décisions,excellent interessement paricipation representant jusquà salaire brut excellente mutuelle,234
60,15,12/10/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,localisation salaire fixe peu élevé peu confiance marketing,intéressement participation élevés entreprise innovante,234
61,17,20/09/2019,Je travaille chez Dassault Systemes à temps plein,erreurs management récurrentes cas où cdd bénéficient certaines primes acquises ensemble équipe période difficile travail identique etc managers cherchent conserver talents maintenir ambiance façade copinage entre salariés ambiance hypocrite médire autres trop répandu enracinement danciens salariés peuventfreiner entreprise direction semble agir problème accord dentreprise permet départ retraite plus tôt frais ds culture présentéisme très marquée beaucoup jouent paraître débordés manger bureau faire beaucoup dheures très peu productivité,qualité chèquesvacances remboursements importants frais partir voyage ambiance générale bonne humeur tutoiement code vestimentaire casual toléré cadre travail très agréable campus véritable lieu vie peut acheter pain soir assister conférence aprèsmidi boire café terrasse restaurant dentreprise télétravail homeoffice très répandu intéressement participation denviron salaire brut bonne expérience pro cv gonflé,234
62,29,20/09/2019,J'ai travaillé chez Dassault Systemes à temps plein plus d'un an,ras vois dinconvénients,jétais apprenti sein dassault systèmes nombreux avantages chèques vacances salaire intéressant treizième mois participation intéressement etc plus ça cadre entreprise juste magnifique,234
63,15,11/09/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,pourrait augmenter revenus si entreprise plus tournée vers ventes,investissement régulier conséquent rd donc très bons produits bons avantages via comité dentreprise intéressement participation,234
64,15,10/09/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,micromanagement parfois dérangeant localisation,avantages liés primes environnement travail,234
65,15,09/09/2019,Je travaille chez Dassault Systemes à temps plein depuis moins d'un an,technologies utilisées parfois vieillissantes frameworks autre,jour congers bcp dautres avantages,234
66,29,25/06/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,seul point amélioré cest parfois communication entre différents fonctions,très bonne expérience enrichissante tous niveaux,234
67,15,19/05/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,,,234
68,15,27/03/2019,Je travaille chez Dassault Systemes à temps plein,,,234
69,17,27/03/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 5 ans,,,234
70,15,22/03/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans,,,234
71,17,12/03/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,,,234
72,17,07/03/2019,Je travaille chez Dassault Systemes à temps plein,,,234
73,15,23/02/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,,,234
74,15,05/02/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans,,,234
75,21,01/02/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans,,,234
76,21,29/01/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans,,,234
77,13,25/01/2018,J'ai travaillé chez SolidWorks à temps plein moins d'un an,incompétence généralisée manageurs vision quand yen a trop courttermiste manque culture résultat fermé nouvelles idées applications mécanique rouillé problème récurrent communication manque précision environnement toxique marqué politique d’insoumission masquée subordonnés,fait partie dun grand groupe renom comme ds environnement international réseau étendu toujours ouvert branche solidworks salaire intéressement ticket vacances infrastructure moderne campus véilzy grand parking,242
78,15,18/03/2017,Je travaille chez SolidWorks à temps plein depuis plus de 3 ans,relation corps enseignant,école sérieuse formant bons ingénieurs reconnu auprès industrie,242
79,17,23/07/2019,Je travaille chez 2S2I Solutions & Services à temps plein depuis plus d'un an,,,144
80,29,11/07/2019,Je travaille chez 2S2I Solutions & Services à temps plein depuis plus de 5 ans,,,144
81,13,07/07/2019,J'ai travaillé chez 2S2I Solutions & Services à temps plein moins d'un an,,,144
82,15,13/03/2017,J'ai travaillé chez 2S2I Solutions & Services à moins d'un an,,,144
83,29,04/12/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,rigidité l’organisation financiers tout là haut trop rationalisation surchauffe,bonne ambiance rémunération attractive entre k€ selon années remboursement tous frais si rdv client ik repas tr transport déplacements base installée clients panels d’offres énorme retail tax hcm erp cabinets d’ec très bonne notoriété,2
84,29,29/11/2019,Je travaille chez CEGID à temps plein,entreprise encore trop européenne,travailler groupe a taille humaine dynamique forte croissa respectueux hommes environnement,2
85,21,21/11/2019,J'ai travaillé chez CEGID à temps plein plus de 5 ans,clientélisme direction interne courage managérial décalage entre valeurs terrain,ambition projets culture challenge,2
86,17,20/11/2019,J'ai travaillé chez CEGID à temps plein,coûts réduits année année donc moins moins avantage,chèques vacances chèque noel,2
87,15,08/11/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,strates manageriales ralentissent projets,structure moyens interessement participation,2
88,21,06/11/2019,Je travaille chez CEGID à temps plein depuis plus de 5 ans,rh administratif processus silo viellissante,transformation produits intéressants culture dentreprise,2
89,13,29/10/2019,J'ai travaillé chez CEGID à temps plein,déshumanisation faible reconnaissance chasse seniors,moyens financiers qualité marketing externe,2
90,17,13/10/2019,Je travaille chez CEGID à temps plein,manque esprit équipe salaire,grande autonomie poste,2
91,21,21/09/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,beaucoup dinvestissements marketing détriment produits evolution carrière verrouillée népotisme clients plus plus insatisfaits moins moins gens compétents répondre sentiment gâchis,beaucoup projets bonne gestion financière parc client conséquent varié leader certains marchés,2
92,13,16/09/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,boîte copains confondre fidélité copinage aucune politique rh croissance rachat successif projet collectif boîte na dâme didentité,jen vois a part boire champagne salons st congrès clients,2
93,13,06/08/2019,J'ai travaillé chez CEGID à temps plein,manque absolu respect envers employés cest bien beau faire événements valoriser produits faut penser collaborateurs,seule chose sauve,2
94,13,09/07/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,méthode managériales ans politique rh ans capital sympathie aucune délégation gens melon partout,vois aucun avantage,2
95,15,25/06/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,difficultés embarquer tout monde,projet dévolution passionnant belles potentialités,2
96,21,12/06/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,salaire conditions travail hierarchie trop lourde,mutuelle tickets resto comité dentreprise,2
97,15,28/05/2019,Je travaille chez CEGID à temps plein,salaire peu bas rapport concurrence,offre beaucoup responsabilité permet lancer monde travail,2
98,21,01/05/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,évolution interne extrêmement compliqué gestion talents inexistante,très actif formations possible,2
99,17,29/04/2019,J'ai travaillé chez CEGID à temps plein moins d'un an,cest trop grosse infrastructure manque transparence communication salaries trop dintermédiaires communication directe,cest grand groupe leader numérique progiciels comptabilité gestion paie gestion commerciale cest très intéressant cest bonne formation,2
100,15,28/04/2019,Je travaille chez CEGID à temps plein depuis moins d'un an,lourdeur système support client complexe inefficace,grosse boite autant pression pme,2
101,13,27/04/2019,Je travaille chez CEGID à,commissions divisées changement plan commissionnement chaque année jeunes chefs dorchestres derrière tableaux excel sans aucune connexion terrain direction applique machinalement directives restrictions coûts économies sans percevoir conséquences aucune considération direction employés voiture fonction delocalisation paris rueil malmaison notes frais ridicules,temps où possible correctement gagner vie notamment grâce variable terminé nom cv,2
102,17,11/04/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,manque reconnaissance managers,société leader marché,2
103,29,06/12/2019,Je travaille chez Bayer à temps plein,aucuns inconvénients car société très bien organisée,organiser structure directeur excellent teamwork helpful,13
104,17,21/10/2019,Je travaille chez Bayer à temps plein,management sans expérience difficulté suivre stratégie entreprise culture pharmaceutique absente cela semble choix peu dévolution possible site métiers scientifiques site reste axé business,bonne ambiance diversité projets conditions salariales très bonnes,13
105,29,16/10/2019,J'ai travaillé chez Bayer à temps plein,diplôme supérieur essentiel développement carrière,développé compétences multiples domaines,13
106,15,14/10/2019,Je travaille chez Bayer à temps plein depuis plus d'un an,communication manque management,salaire avantages horaires travail évolution,13
107,17,31/08/2019,Je travaille chez Bayer à temps plein,opacité certain projet parfois manque découte manager savoir politique indispensable,grand groupe responsabilités missions projets inintéressants expérience globalement positive,13
108,17,30/07/2019,J'ai travaillé chez Bayer à temps plein,réorganisation bureaux anciens vestiaires,intégration manager process outils bi avantages sociaux parking,13
109,29,17/07/2019,J'ai travaillé chez Bayer à temps plein moins d'un an,hiérarchisation beaucoup temps pris prise décision,bonne culture dentreprise bon travail déquipe avantages salariales,13
110,15,06/07/2019,Je travaille chez Bayer à temps plein,rythme travail très soutenu,benefices dune grande société ambiance très collégiale,13
111,21,25/06/2019,J'ai travaillé chez Bayer à temps plein,ambiance top trop grosse boite,entrez grosse entreprise,13
112,17,18/06/2019,J'ai travaillé chez Bayer à temps plein,environnement exigeant constants changements,travail déquipe opportunités développement personnel,13
113,17,15/05/2019,Je travaille chez Bayer à temps plein depuis plus de 3 ans,beaucoup turnover manque stabilisation procédés,ticket restaurant,13
114,15,16/12/2018,Je travaille chez Bayer à temps plein,changements fréquents charge travail,bonne ambiance conditions attractives projets motivants,13
115,17,12/11/2018,J'ai travaillé chez Bayer à temps plein,bureaux espace très ouvert aucune ségrégation entre bureaux parfois très bruyant depuis mois société passe réduction coûts formationsséminaires réorganisations organigramme strict grimper échelons organisationnels parking,environnement très international super collègues travail installations rénovées très agréables bien situé station sbb,13
116,15,18/09/2018,Je travaille chez Bayer à temps plein depuis plus d'un an,image marché bien éloignée réalité interne faut assumer,excellents collègues projets ambiance dentreprise,13
117,15,02/09/2018,Je travaille chez Bayer à,décision lente orienté processus trop processus dévaluation,environnement favorable structure horizontale bons avantages sociaux,13
118,29,19/06/2018,Je travaille chez Bayer à temps plein,dinconvénients recherche clinique cette entreprise inconvénients métier cra comme tous autres laboratoires,activités monitoring différents aires thérapeutiques équilibre vie privée vie professionnelle,13
119,17,27/05/2018,Je travaille chez Bayer à temps plein,évolution difficile entretien dévolution rh inexistant,cest bien avoir stabilité dune grande entreprise avantages,13
120,15,14/04/2018,J'ai travaillé chez Bayer à temps plein plus d'un an,restructurations fréquentes écarts importants termes reconnaissance selon business,activités intéressantes bonnes possibilités dévolution carrière primes possibilités matière télétravail temps partiel,13
121,17,14/04/2018,J'ai travaillé chez Bayer à temps plein plus de 10 ans,numero parmi tant d’autre pression exigences formation,perfection notoriete groupe international recherche,13
122,15,11/02/2018,J'ai travaillé chez Bayer à temps plein,trop changement entreprise,très bonne entreprise belle expérience bonne ambiance si c’était refaire referai,13
123,17,14/08/2019,Je travaille chez Expertime à temps plein,organisation charge travail mal répartie,ambiance agréable lieu travail,32
124,29,28/03/2019,Je travaille chez Expertime à depuis moins d'un an,entreprise viroflay ça pose beaucoup inconvénients,tickets resto télé travaille yoga chaque jeudi transport rembourser très bien ambiance boite solution intranet marche très bien,32
125,13,12/03/2019,J'ai travaillé chez Expertime à temps plein moins d'un an,locaux dehors paris espace travail bruyant open space trop petit agence fait production dux research user tests agence na vision cohérente activités travail silo agile manque communication visibilité travail autres réactivité lente projetsclients rôle designer semble inconnu,bon salaire débuter espace restauration collectif très agréable cuisine place travail déquipe designer architecte intégrateur bonne ambiance globale soirées organisées sintégrer entreprise,32
126,15,18/10/2018,J'ai travaillé chez Expertime à temps partiel,agence web subit peu poids ssii laquelle rattachée,jai bossé alternance agence web bureaux cool bonne ambiance travail super manager,32
127,29,06/09/2018,Je travaille chez Expertime à temps plein,paris,bonne ambiance équipes sympas devenus plus simples collègues managers bienveillants accordent confiance projets challengeants,32
128,29,06/09/2018,Je travaille chez Expertime à temps plein depuis plus d'un an,cest dêtre motivé poser questions si habitué quelquun tienne main travail nest endroit,environnement travail positif nombreux avantages cest petite équipe chacun très qualifié poste croient beaucoup plus qualité quà quantité,32
129,15,04/09/2018,J'ai travaillé chez Expertime à temps plein plus d'un an,salaire direction ressources humaines,bonne ambiance espace coworking mission intéressantes partenariat intéressant microsoft,32
130,29,08/08/2018,Je travaille chez Expertime à temps plein depuis plus d'un an,anglais courant indispensable,management proximité humain pleine croissance groupe tourné vers développement international entreprise innovante,32
131,13,26/07/2018,J'ai travaillé chez Expertime à temps plein moins d'un an,commençons locaux nul part viroflay tout monde fait entre h h transport open space squatte bureaux uns autres cause manque place sans parler l’état bureaux sièges nont changé depuis ouverture site managers savent quils veulent recrutement stagiaires faire boulot salarié etsurtout surprenez si met porte après mois parce qu’on a projet durant entretien fait rêver parle entités internationales seattle nantes projets diverses grands clients ect fois place réalise vraiment rien tout çabref regrette jour où jai pensé rejoindre expertime,hormis gens sympas travaillent trouve dautres avantages,32
132,15,12/07/2018,Je travaille chez Expertime à,faut maîtriser anglais obsolète niveau connaissances it,ambiance intégration management proximité société pleine croissance,32
133,15,10/07/2018,Je travaille chez Expertime à,situation géographique banlieue bien desservie loin paris,très bonne ambiance bonnes conditions travail convivialité contexte international travail,32
134,15,10/04/2018,Je travaille chez Expertime à temps plein depuis moins d'un an,développer synergies projets interne,vision collaborative dynamique innovante créative grande marge dinitiatives ambiance travail humainement motivante,32
135,29,16/10/2017,Je travaille chez Expertime à temps partiel depuis plus de 8 ans,projets plus plus internationaux faut maîtriser anglais courant,société innovante secteur digital encourage créativité forces propositions collaborateurs management proximité,32
136,15,22/03/2017,J'ai travaillé chez Expertime à temps partiel plus d'un an,localisé viroflay donc très loin ceux habitent banlieue si viroflay très bien desservie transports,bonne ambiance générale babyfoot espace co working entreprise plutôt orientée techniques beaucoup dev située paris nantes lille,32
137,15,19/01/2016,Je travaille chez Expertime à temps plein depuis plus de 3 ans,expertime progresse relativement vite cela implique parfois adaptations importantes chacun dentre organisation mis place,expertime entreprise dynamique donne priorité innovation technologique progression personnelle projets nombreux très variés autonomie importante laissée chacun organisation,32
138,29,19/01/2016,Je travaille chez Expertime à temps plein,distance entre centre paris viroflay cela dit viroflay quand facilement accessible grâce lignes train départ gare st lazare départ gare montparnasse rer,expertime entreprise humaine l’écoute collaborateurs j’apprécie actions mises œuvre bienêtre épanouissement espace coworking panier fruits formations etc recommande vivement cette entreprise,32
139,29,05/11/2019,Je travaille chez Adsearch à temps plein depuis plus d'un an,rémunération alternance,travail déquipe horaire appréciable formateur,41
140,29,15/10/2019,J'ai travaillé chez Adsearch à temps plein plus de 3 ans,rtt salaires globalement bas,cadre travail ambiance états desprits collaborateurs direction,41
141,29,12/03/2019,Je travaille chez Adsearch à temps plein,nen vois instant,super ambiance interne ainsi quune très belle culture dentreprise direction l’écoute réelles perspectives d’évolutions,41
142,29,12/03/2019,Je travaille chez Adsearch à temps plein depuis plus de 3 ans,nen vois instant,excellente ambiancepossibilités dévolutionsystème rémunération attractif,41
143,29,12/03/2019,Je travaille chez Adsearch à temps plein depuis plus de 3 ans,adsearch grandit manière exponentielle faut donc vigilent organisation projets futurs moment ras,travaille adsearch depuis quelques années l’évolution cette société constat belles valeurs jolie culture dentreprise environnement familial malgré effectifs évolue plus plus projets nombreux adaptés tout types profils junior confirmé résumer entreprise jeune dynamique ambitieuse,41
144,29,12/03/2019,Je travaille chez Adsearch à temps plein depuis plus de 5 ans,encore beaucoup projets mettre place,autonomie liberté daction respect humain valeur humilité autonomie responsabilité adsearch peux prendre plaisir travailleret évoluer,41
145,29,12/03/2019,Je travaille chez Adsearch à temps plein depuis plus de 3 ans,vois,travaille adsearch depuis ans méclate super ambiance missions intéressantes manager présent maccompagne réellement management très participatif plait beaucoup adsearch société a beaucoup dambition donne belle dynamique quotidienne jai travaillé plusieurs sociétés auparavant nai jamais aussi épanouie,41
146,15,12/03/2019,Je travaille chez Adsearch à temps plein depuis moins d'un an,fixe peu faible ça peut parfait,management flexible système rémunération variable intéressant événements team building récurrents,41
147,29,12/03/2019,Je travaille chez Adsearch à depuis moins d'un an,ny trouve sincèrement aucun inconvénient,bonne ambiance travail formation complète enrichissante management encourageant présent quotidien,41
148,29,12/03/2019,Je travaille chez Adsearch à temps plein,cherche cherche trouve,société pleine valeurs où fait bon vivre,41
149,13,09/03/2019,J'ai travaillé chez Adsearch à temps plein plus d'un an,vrai poudre yeux turnover incroyable équipes force main répondre questionnaire great place to work pousse mettiez meilleure note managers inexistants l’écoute veut prôner valeurs humaines inexistantes aucune parole n’est tenue part direction livre cette avis tombiez lepiège autres commentaires écrit personnes poste membres direction marketing suivi candidat n’est fait fixe objectifs irréalistes nouveau consultant n’ont jamais d’expérience recrutement faut remette question encore loin leaders marché,si trouvez avantages preneur,41
150,13,12/02/2019,J'ai travaillé chez Adsearch à temps plein plus d'un an,turnover record juniors ca coûte cher encore faudraitil prendre temps former qualité service managers naiment dossier candidatures trop complets bah oui ca prend temps dénigrent cabinets anglosaxons faire chose,cours réflexion,41
151,29,11/10/2018,Je travaille chez Adsearch à temps plein,a stade rien signaler,très belle culture dentreprise valeurs familiales ressentent réellement autonomie responsabilités simplicité authenticitéet ambition beau projet dentreprise développement sans renier valeurs,41
152,29,30/07/2018,Je travaille chez Adsearch à,cette entreprise certainement plus adaptée personnes expérimentées métier hormis certaines divisions recrutement lesquelles juniors peuvent s’adapter,entreprise plein développement france l’international beaucoup perspectives d’évolution direction laisse beaucoup d’autonomie environnement propice l’épanouissement professionnel,41
153,29,11/07/2018,Je travaille chez Adsearch à temps plein depuis moins d'un an,procédures mettre place permettant passer startup société denvergure supérieure,ambiance confiance dépassement soi,41
154,29,14/05/2018,Je travaille chez Adsearch à temps plein,aucuns inconvénients probants marque développe rapidement alors parfois organisation peu fouillis voilà tout,bonne humeur entraide jeunesse desprit tous adsearchers,41
155,15,06/11/2019,J'ai travaillé chez Groupe Adéquat à temps plein,aucun aucun aucun aucun aucun,ponctualité sérieux écoute souplesse régularité,44
156,17,17/10/2019,J'ai travaillé chez Groupe Adéquat à temps plein,ème mois ni rtt salaires bas,bienveillance autonomie commerciaux,44
157,29,16/09/2019,J'ai travaillé chez Groupe Adéquat à temps partiel,car franchise,bonne e ambiance rtt demi journée chaque salarié,44
158,21,18/07/2019,J'ai travaillé chez Groupe Adéquat à temps plein,rtt anormal société cette taille,mutuelle carte tickets restaurants,44
159,15,25/05/2019,Je travaille chez Groupe Adéquat à temps plein,salaire fixe très élevé autres avantages compenses,commissions atteignable euros carte resto mois mutuelle intéréssante prime intéressement,44
160,15,05/01/2019,Je travaille chez Groupe Adéquat à temps plein,davantages sociaux hormis tickets restaurants,bonne ambiance tickets restaurants mutuelle bonne réactive,44
161,17,18/12/2018,J'ai travaillé chez Groupe Adéquat à temps plein plus de 5 ans,manque moyens informatiques retard dématérialisation,autonomie flexibilité culture dentreprise évolution carrière,44
162,17,07/11/2018,Je travaille chez Groupe Adéquat à,horaires mission trop courte h,missions proposés fréquentes,44
163,17,03/10/2018,J'ai travaillé chez Groupe Adéquat à temps plein,trop travail petite équipe,tâches très variées,44
