id_avis,id_note,date_publication,contenu_avis,inconvenient,avantage,id_entreprise
39,17,07/11/2019,Je travaille chez Atos à temps plein,Les salaires ont des évolutions lentes.,grande boite d'IT reconnue mondialement,72
40,17,04/11/2019,Je travaille chez Atos à temps plein depuis moins d'un an,suivi mission concurrence entre les différences agences,ambiance CE resto proximité avec le client,72
41,21,21/05/2019,Je travaille chez Atos à temps plein depuis moins d'un an,Les ressources humaines et l'empathie sont inexistantes.,Les missions peuvent être des fois intéressantes .,72
42,21,24/06/2015,Je travaille chez Atos à depuis plus d'un an,Comme toute les ssii il faut savoir dire non à des missions que vous voulez pas sinon ils insistent que vous l'ayez.,Si vous réussissez à avoir une bonne mission et un bon salaire d'entré c'est une bonne ssii. Vous pourriez avoir un pc portable d'atos et vous avez 100% transport en commun si vous êtes en mission.,72
43,17,03/01/2015,Je travaille chez Atos à temps plein depuis plus de 5 ans,Le salaire n'est pas conséquent mais à l'heure ou je vous parle j'ai pris le large :-) c'était 35000 euros annuel.,Je ne suis pas resté assez longtemps pour savoir si cela m'aurait permis d'avoir des avantages particulier. Mais je pense qu'on a tous une chance d'obtenir un bonus....,72
44,21,26/06/2019,Je travaille chez Atos Consulting à temps plein depuis moins d'un an,Pas de suivi ni écoute du management pas de changement de mission malgré plusieurs mois sur un projet peu intéressant et dans un contexte difficile,Mutuelle salaire correct avantages CE,75
45,17,16/06/2019,Je travaille chez Atos Consulting à temps plein depuis plus d'un an,Manque de perspectives d’évolution de carrière,Équilibre vie privée vie professionnelle,75
46,15,13/03/2019,J'ai travaillé chez Atos Consulting à temps plein,Pas toujours suffisamment de missions intéressantes pour les consultants,Managers souvent compétents pour la plupart idéal pour un junior pour faire son apprentissage dans le conseil -Renom du groupe Atos,75
47,29,20/02/2019,J'ai travaillé chez Atos Consulting à temps plein moins d'un an,Top management distant. Il aurait été plus intéressant d'avoir des rapports plus proches,Equipe Premier salaire pour un junior,75
48,15,14/02/2019,Je travaille chez Atos Consulting à temps plein,Beaucoup de déplacement changement régulier de mission donc peu de stabilité,Salaire attractif missions intéressantes et variées,75
49,17,12/02/2019,Je travaille chez Atos Consulting à temps plein,Stratégie - organisation interne - positionnement du conseil au sein du groupe,Diversité des collaborateurs et ambiance de travail,75
50,13,15/11/2018,Je travaille chez Atos Consulting à temps plein,Lourdeur du Groupe absence totale de stratégie et d'autonomie,... je cherche encore et toujours,75
51,13,09/09/2018,J'ai travaillé chez Atos Consulting à temps plein plus de 5 ans,Presque tout. De moins en moins de clients et le principal client est dans une situation très délicate. Difficile de se projeter à plus de 1 ou 2 mois,5 jours de congés par ans (4 pour les fêtes de fin d'année) et un en Mai pour un pont et des viennoiseries deux fois par semaine. Le bureau de Nyon est bien placé pour ceux qui viennent en voiture (plein de de places de parking). Bon deuxième pilier. Des apéros presque tous les vendredi soir fêter les départs.,75
52,15,27/07/2018,Je travaille chez Atos Consulting à temps plein,rémunération écart de compétence entre employées peu de visibilité / projection au sein du groupe,ouvert hierarchie plate clients grands portefeuilles connaissance SI,75
53,13,08/06/2018,Je travaille chez Atos Consulting à temps plein depuis plus de 10 ans,Depuis le rachat de CTP par Atos la division Atos consulting est en perdition. Les employés fuient se font licencier ou vont se faire licencier. Nous sommes passés de 250 en Suisse à 150? voir moins.L'ambiance est forcément en conséquences...et c'est franchement la fin. A moyen terme le bureau de Nyon devrait fusionner avec celui de Renens j'imagine.,Jours de congé supplémentaires (wellness) team events (bien que de plus en plus rares) petites attentions au bureau (pains au chocolat fruits boissons etc...),75
54,29,04/07/2019,Je travaille chez Atos-Syntel à temps plein depuis plus d'un an,Pas beaucoup,Excellente opportunité d'apprentissage et de progression pour les juniors,76
55,29,17/10/2016,Je travaille chez Atos-Syntel à temps plein,Je ne vois pas vraiment d'inconvenient la tout de suite maintenant. Mais ce la peut venir assez vite.,Je pense que cet avis doit etre positif car c'est une belle boite.,76
56,13,21/12/2016,J'ai travaillé chez Atos Medical à temps plein plus d'un an,Trop long à énumérer mais tant que cette société sera manager que sous l'aspect financier sans tenir compte du reste et plus particulièrement des patients elle stagnera,Si vous aimez les gens qui s'approprient vos succès vos idées : allez-y Pas de plan marketing aucun dossier de remboursement en cours. Fraude la sécurité sociale en se faisant rembourser les nouvelles prothèses phonatoires avec les anciennes références qui avaient elles le droit d'etre remboursées,77
57,29,04/12/2019,J'ai travaillé chez Dassault Systemes à temps plein,Il n'y a pas d'inconvenients,Collègues tres smart - Formation permanente - Process efficaces - Fléxibilité - Rémuneration et avantages très attractifs,78
58,15,21/11/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 10 ans,L entreprise se situe a Vélizy,L entreprise propose de bons Avantages sociaux,78
59,15,13/10/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,Beaucoup de politique qui ralentissent la prise de décisions.,Excellent CE. Interessement et paricipation representant jusqu'à 20% du salaire brut. Excellente mutuelle,78
60,15,12/10/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,Localisation Salaire fixe peu élevé Peu de confiance dans le marketing,Intéressement participation élevés Entreprise innovante,78
61,17,20/09/2019,Je travaille chez Dassault Systemes à temps plein,Erreurs de management assez récurrentes. Cas où les CDD ne bénéficient pas de certaines primes acquises par l'ensemble de l'équipe sur une période difficile pour un travail identique etc. - Les managers ne cherchent pas à conserver les talents mais à maintenir une ambiance de façade (copinage entre salariés ambiance hypocrite médire les autres est trop répandu). - Enracinement d'anciens salariés qui peuvent...freiner l'entreprise (la direction semble agir sur le problème avec un accord d'entreprise qui permet le départ à la retraite plus tôt au frais de DS). - Culture du présentéisme très marquée (beaucoup jouent à paraître débordés à manger au bureau à faire beaucoup d'heures avec très peu de productivité).,CE de qualité (chèques-vacances et remboursements importants des frais pour partir en voyage). - Ambiance générale bonne humeur tutoiement code vestimentaire casual toléré. - Cadre de travail très agréable (le campus est un véritable lieu de vie on peut y acheter son pain le soir assister à une conférence l'après-midi boire son café sur une terrasse). - Restaurant d'entreprise. - Télétravail et home...office très répandu. - L'intéressement et participation d'environ 20% du salaire brut. - Bonne expérience pro et CV gonflé.,78
62,29,20/09/2019,J'ai travaillé chez Dassault Systemes à temps plein plus d'un an,RAS je ne vois pas d'inconvénients,J'étais apprenti au sein de Dassault Systèmes et il y a de nombreux avantages: CE chèques vacances salaire intéressant treizième mois participation intéressement etc. En plus de ça le cadre de l'entreprise est juste magnifique !,78
63,15,11/09/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,Pourrait augmenter les revenus si l'entreprise était plus tournée vers les ventes.,Investissement régulier et conséquent en R&D donc de très bons produits. Bons avantages via le Comité d'Entreprise. Intéressement et participation.,78
64,15,10/09/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,Un micromanagement parfois dérangeant. La localisation.,Les avantages liés au C.E Les primes L'environnement de travail,78
65,15,09/09/2019,Je travaille chez Dassault Systemes à temps plein depuis moins d'un an,Les technologies utilisées sont parfois vieillissantes (frameworks et autre).,44 jour de congers et bcp d'autres avantages,78
66,29,25/06/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,le seul point à amélioré c'est parfois la communication entre les différents fonctions,très bonne expérience et enrichissante à tous les niveaux,78
67,15,19/05/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,NULL,NULL,78
68,15,27/03/2019,Je travaille chez Dassault Systemes à temps plein,NULL,NULL,78
69,17,27/03/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 5 ans,NULL,NULL,78
70,15,22/03/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans,NULL,NULL,78
71,17,12/03/2019,Je travaille chez Dassault Systemes à temps plein depuis plus d'un an,NULL,NULL,78
72,17,07/03/2019,Je travaille chez Dassault Systemes à temps plein,NULL,NULL,78
73,15,23/02/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 3 ans,NULL,NULL,78
74,15,05/02/2019,J'ai travaillé chez Dassault Systemes à temps plein plus de 5 ans,NULL,NULL,78
75,21,01/02/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans,NULL,NULL,78
76,21,29/01/2019,Je travaille chez Dassault Systemes à temps plein depuis plus de 8 ans,NULL,NULL,78
77,13,25/01/2018,J'ai travaillé chez SolidWorks à temps plein moins d'un an,Incompétence généralisée des manageurs Vision (quand il y'en a une) trop court-termiste Manque de culture du résultat Fermé aux nouvelles idées ou applications - mécanique rouillé Problème récurrent de communication - manque de précision Environnement toxique marqué par une politique d’insoumission masquée des subordonnés,Fait partie d'un grand groupe de renom comme DS (environnement international réseau étendu mais pas toujours ouvert à la branche Solidworks). Salaire intéressement CE (ticket vacances) Infrastructure moderne du campus de Véilzy grand parking.,79
78,15,18/03/2017,Je travaille chez SolidWorks à temps plein depuis plus de 3 ans,relation avec le corps enseignant,école sérieuse formant de bons ingénieurs reconnu auprès de l'industrie,79
79,17,23/07/2019,Je travaille chez 2S2I Solutions & Services à temps plein depuis plus d'un an,NULL,NULL,80
80,29,11/07/2019,Je travaille chez 2S2I Solutions & Services à temps plein depuis plus de 5 ans,NULL,NULL,80
81,13,07/07/2019,J'ai travaillé chez 2S2I Solutions & Services à temps plein moins d'un an,NULL,NULL,80
82,15,13/03/2017,J'ai travaillé chez 2S2I Solutions & Services à moins d'un an,NULL,NULL,80
83,29,04/12/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,Rigidité de l’organisation des financiers tout là haut trop de rationalisation surchauffe...,Bonne ambiance rémunération attractive entre 100 et 140k€ selon les années remboursement de tous les frais si RDV client (IK repas TR Transport déplacements...) base installée de clients avec panels d’offres énorme (Retail Tax HCM ERP Cabinets d’EC) très bonne notoriété...,81
84,29,29/11/2019,Je travaille chez CEGID à temps plein,Entreprise encore trop européenne,Travailler pour un groupe a taille humaine dynamique en forte croissa2 ce et respectueux des hommes et de leur environnement,81
85,21,21/11/2019,J'ai travaillé chez CEGID à temps plein plus de 5 ans,clientélisme de la direction (interne) courage managérial décalage entre les valeurs et le terrain,ambition des projets culture du challenge,81
86,17,20/11/2019,J'ai travaillé chez CEGID à temps plein,Des coûts réduits d année en année donc de moins en moins d avantage,Chèques vacances chèque noel,81
87,15,08/11/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,strates manageriales qui ralentissent les projets,structure et moyens interessement et participation,81
88,21,06/11/2019,Je travaille chez CEGID à temps plein depuis plus de 5 ans,RH administratif processus silo viellissante,Transformation produits intéressants culture d'entreprise,81
89,13,29/10/2019,J'ai travaillé chez CEGID à temps plein,Déshumanisation Faible reconnaissance Chasse aux seniors,Moyens financiers Qualité du marketing externe,81
90,17,13/10/2019,Je travaille chez CEGID à temps plein,Manque d esprit d équipe Salaire,Grande Autonomie dans le poste,81
91,21,21/09/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,Beaucoup d'investissements dans le marketing au détriment des produits - Evolution de carrière verrouillée par le népotisme - Des clients de plus en plus insatisfaits et de moins en moins de gens compétents pour leur répondre - Un sentiment de gâchis,Beaucoup de projets - Une bonne gestion financière - Un parc client conséquent et varié - Un leader sur certains de ses marchés,81
92,13,16/09/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,Une boîte de copains! ne pas confondre fidélité et copinage! aucune politique RH! croissance par rachat successif! pas de projet collectif! une boîte qui n'a pas d'âme pas d'identité!,j'en vois pas!!! a part boire du champagne dans les salons st congrès clients!!!!,81
93,13,06/08/2019,J'ai travaillé chez CEGID à temps plein,Manque absolu de respect envers les employés. C'est bien beau des faire des événements pour valoriser vos produits mais il faut penser à vos collaborateurs.,Votre CE est la seule chose qui vous sauve.,81
94,13,09/07/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,Méthode managériales d'il y a 20 ans Politique RH d'il y a 30 ans. Capital sympathie 0. Aucune délégation et des gens avec le melon de partout.,Je ne vois aucun avantage.,81
95,15,25/06/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,difficultés à embarquer tout le monde,projet d'évolution passionnant avec de belles potentialités,81
96,21,12/06/2019,Je travaille chez CEGID à temps plein depuis plus de 10 ans,Salaire Conditions de travail Hierarchie trop lourde,Mutuelle. Tickets resto comité d'entreprise,81
97,15,28/05/2019,Je travaille chez CEGID à temps plein,Salaire un peu bas par rapport à la concurrence,Offre beaucoup de responsabilité et permet de se lancer dans le monde du travail,81
98,21,01/05/2019,Je travaille chez CEGID à temps plein depuis plus d'un an,Évolution en interne extrêmement compliqué. Gestion des talents inexistante.,CE très actif formations possible.,81
99,17,29/04/2019,J'ai travaillé chez CEGID à temps plein moins d'un an,C'est une trop grosse infrastructure qui manque de transparence et de communication avec ses salaries trop d'intermédiaires et pas assez de communication directe.,C'EST UN GRAND GROUPE ILS SONT DU LEADER DU NUMÉRIQUE SUR LES PROGICIELS DE COMPTABILITÉ GESTION DE LA PAIE ET GESTION COMMERCIALE. C'EST TRÈS INTÉRESSANT C'EST UNE BONNE FORMATION.,81
100,15,28/04/2019,Je travaille chez CEGID à temps plein depuis moins d'un an,lourdeur système support client complexe et inefficace,grosse boite pas de autant de pression que dans les PME,81
101,13,27/04/2019,Je travaille chez CEGID à,Commissions divisées par 3 ou 4 en 2019. - Changement de plan de commissionnement chaque année. - De jeunes chefs d'orchestres derrière des tableaux Excel sans aucune connexion avec le terrain - La direction applique machinalement les directives de restrictions coûts et d économies sans en percevoir les conséquences - Aucune considération de la direction pour ses employés. - Pas de voiture de fonction -...Delocalisation de Paris 8 à.... Rueil Malmaison - Notes de frais ridicules,Il fut un temps où il était possible de correctement gagner sa vie notamment grâce au variable. Mais c est terminé ! Le nom sur le CV...,81
102,17,11/04/2019,Je travaille chez CEGID à temps plein depuis plus de 8 ans,manque de reconnaissance par les managers,Une société leader du marché,81
103,29,06/12/2019,Je travaille chez Bayer à temps plein,Aucuns inconvénients / car la société est très bien organisée,Organiser / structure / le directeur Excellent / Teamwork / helpful /,82
104,17,21/10/2019,Je travaille chez Bayer à temps plein,Management sans expérience Difficulté à suivre la stratégie de l'entreprise Culture pharmaceutique absente mais cela semble être un choix Peu d'évolution possible sur site dans les métiers scientifiques. Le site reste axé business,Bonne ambiance diversité des projets conditions salariales très bonnes,82
105,29,16/10/2019,J'ai travaillé chez Bayer à temps plein,Le diplôme supérieur est essentiel pour le développement de carrière.,Développé des compétences en multiples domaines,82
106,15,14/10/2019,Je travaille chez Bayer à temps plein depuis plus d'un an,Communication et manque de management,Salaire avantages horaires de travail évolution,82
107,17,31/08/2019,Je travaille chez Bayer à temps plein,opacité sur certain projet - parfois manque d'écoute du manager - savoir être politique est indispensable,grand groupe - responsabilités - missions et projets inintéressants - expérience globalement positive,82
108,17,30/07/2019,J'ai travaillé chez Bayer à temps plein,Réorganisation Bureaux anciens Pas de vestiaires,Intégration Manager Process Outils BI Avantages sociaux Parking,82
109,29,17/07/2019,J'ai travaillé chez Bayer à temps plein moins d'un an,hiérarchisation beaucoup de temps pris pour la prise de décision,bonne culture d'entreprise bon travail d'équipe avantages salariales,82
110,15,06/07/2019,Je travaille chez Bayer à temps plein,Rythme de travail très soutenu,Benefices d'une grande société Ambiance très collégiale,82
111,21,25/06/2019,J'ai travaillé chez Bayer à temps plein,Ambiance pas top trop grosse boite,Vous entrez dans une grosse entreprise,82
112,17,18/06/2019,J'ai travaillé chez Bayer à temps plein,Environnement exigeant avec de constants changements.,Travail d'équipe et des opportunités de développement personnel.,82
113,17,15/05/2019,Je travaille chez Bayer à temps plein depuis plus de 3 ans,Beaucoup de turnover / manque de stabilisation des procédés,CE / ticket restaurant /,82
114,15,16/12/2018,Je travaille chez Bayer à temps plein,Changements fréquents charge de travail,Bonne ambiance conditions attractives projets motivants,82
115,17,12/11/2018,J'ai travaillé chez Bayer à temps plein,Bureaux en espace très ouvert (aucune ségrégation entre les bureaux) parfois très bruyant. Depuis des mois la société passe par une réduction des coûts. Pas de formations/séminaires Réorganisations. Organigramme strict pour grimper les échelons organisationnels Pas de parking,Environnement très international. De super collègues de travail. Installations rénovées très agréables. Bien situé (Station SBB),82
116,15,18/09/2018,Je travaille chez Bayer à temps plein depuis plus d'un an,Image sur le marché bien éloignée de la réalité en interne... il faut assumer !,Excellents collègues projets ambiance d'entreprise !,82
117,15,02/09/2018,Je travaille chez Bayer à,Décision lente. Orienté processus. Trop de processus d'évaluation.,Environnement favorable. Structure horizontale. De bons avantages sociaux.,82
118,29,19/06/2018,Je travaille chez Bayer à temps plein,Pas d'inconvénients en recherche clinique pour cette entreprise (inconvénients du métier de CRA mais comme dans tous les autres laboratoires),Activités de monitoring dans différents aires thérapeutiques équilibre vie privée / vie professionnelle,82
119,17,27/05/2018,Je travaille chez Bayer à temps plein,évolution difficile entretien d'évolution avec RH inexistant,C'est bien pour avoir la stabilité d'une grande entreprise et ses avantages,82
120,15,14/04/2018,J'ai travaillé chez Bayer à temps plein plus d'un an,Restructurations fréquentes Des écarts importants en termes de reconnaissance selon les business,Activités intéressantes. De bonnes possibilités d'évolution de carrière et de primes. Possibilités en matière de télétravail et de temps partiel.,82
121,17,14/04/2018,J'ai travaillé chez Bayer à temps plein plus de 10 ans,Un numero parmi tant d’autre pression exigences de formation,Perfection notoriete groupe international recherche,82
122,15,11/02/2018,J'ai travaillé chez Bayer à temps plein,Trop de changement dans l'entreprise,très bonne entreprise belle expérience bonne ambiance si c’était à refaire je le referai,82
123,17,14/08/2019,Je travaille chez Expertime à temps plein,organisation charge de travail mal répartie,l'ambiance est agréable sur le lieu de travail,85
124,29,28/03/2019,Je travaille chez Expertime à depuis moins d'un an,L'entreprise est à Viroflay mais ça ne pose pas beaucoup des inconvénients,Tickets resto -Télé travaille -Yoga chaque Jeudi -50% transport rembourser -Très bien ambiance dans la boite -Solution intranet marche très bien !,85
125,13,12/03/2019,J'ai travaillé chez Expertime à temps plein moins d'un an,les locaux sont en dehors de Paris - l'espace de travail est bruyant (open space trop petit) - l'agence 4.0 fait de la production : pas d'UX research et user tests - l'agence 4.0 n'a pas de vision cohérente sur ses activités - travail en silo (pas agile) : manque de communication et de visibilité sur le travail des autres - réactivité lente projets/clients : le rôle du designer semble inconnu,bon salaire pour débuter - espace de restauration collectif très agréable (cuisine sur place) - travail d'équipe (designer + architecte + intégrateur) - bonne ambiance globale avec des soirées organisées pour s'intégrer à l'entreprise,85
126,15,18/10/2018,J'ai travaillé chez Expertime à temps partiel,L'agence web subit un peu le poids de la SSII à laquelle elle est rattachée.,J'ai bossé en alternance dans l'agence Web. Bureaux cool. Bonne ambiance de travail. Super manager.,85
127,29,06/09/2018,Je travaille chez Expertime à temps plein,Ne pas être dans Paris,Une bonne ambiance des équipes sympas qui sont devenus plus de que simples collègues des managers bienveillants qui accordent leur confiance des projets challengeants ...,85
128,29,06/09/2018,Je travaille chez Expertime à temps plein depuis plus d'un an,C'est à vous d'être motivé et de poser des questions. Si vous êtes habitué à ce que quelqu'un vous tienne la main pour votre travail ce n'est pas l'endroit pour vous.,Environnement de travail positif avec de nombreux avantages. C'est une petite équipe mais chacun est très qualifié pour son poste. Ils croient beaucoup plus à la qualité qu'à la quantité.,85
129,15,04/09/2018,J'ai travaillé chez Expertime à temps plein plus d'un an,Salaire et la direction des ressources humaines,Bonne ambiance espace coworking mission intéressantes partenariat intéressant avec Microsoft.,85
130,29,08/08/2018,Je travaille chez Expertime à temps plein depuis plus d'un an,Un anglais courant est indispensable,Management de proximité et humain. Pleine croissance du groupe tourné vers un développement à l'international. Entreprise innovante.,85
131,13,26/07/2018,J'ai travaillé chez Expertime à temps plein moins d'un an,Commençons par les locaux qui sont nul part à Viroflay ou tout le monde fait entre 1h et 2h de transport un open space ou on squatte les bureaux des uns et des autres à cause de manque de place sans parler de l’état des bureaux ou des sièges qui n'ont pas changé depuis l'ouverture du site des managers qui ne savent même pas ce qu'ils veulent ils recrutement des stagiaires pour faire un boulot de salarié et...surtout ne vous surprenez pas si on vous met à la porte après 2 ou 3 mois parce qu’on a pas de projet. durant l'entretien on vous fait rêver on parle des entités internationales à Seattle à Nantes.. des projets diverses avec des grands clients ect une fois sur place on réalise qu'il y a vraiment rien de tout ça...bref je regrette le jour où j'ai pensé à rejoindre Expertime.,Hormis les gens sympas qui y travaillent je ne trouve pas d'autres avantages,85
132,15,12/07/2018,Je travaille chez Expertime à,Il faut maîtriser l'anglais ne pas être obsolète au niveau des connaissances IT,L'ambiance L'intégration Management de proximité Société en pleine croissance,85
133,15,10/07/2018,Je travaille chez Expertime à,Situation géographique en banlieue bien desservie mais assez loin de Paris,Très bonne ambiance bonnes conditions de travail convivialité contexte international de travail,85
134,15,10/04/2018,Je travaille chez Expertime à temps plein depuis moins d'un an,Développer les synergies projets en interne,Une vision collaborative dynamique innovante et créative Une grande marge d'initiatives Une ambiance de travail humainement motivante,85
135,29,16/10/2017,Je travaille chez Expertime à temps partiel depuis plus de 8 ans,Projets de plus en plus internationaux: il faut maîtriser l'anglais courant,Société innovante dans le secteur digital Encourage la créativité et les forces de propositions de ses collaborateurs Management de proximité,85
136,15,22/03/2017,J'ai travaillé chez Expertime à temps partiel plus d'un an,Localisé à Viroflay donc très loin pour ceux qui habitent en banlieue même si viroflay est très bien desservie par les transports.,Bonne ambiance générale un babyfoot dans l'espace co working ! Une entreprise plutôt orientée techniques beaucoup de dev. Située à Paris Nantes et Lille.,85
137,15,19/01/2016,Je travaille chez Expertime à temps plein depuis plus de 3 ans,EXPERTIME progresse relativement vite cela implique parfois des adaptations importantes pour chacun d'entre nous et l'organisation mis en place,EXPERTIME est une entreprise dynamique qui donne une priorité à l'innovation technologique et la progression personnelle. Les projets sont nombreux et très variés. Une autonomie importante est laissée à chacun dans son organisation.,85
