OBJECT_ID;TYPE_FICHIER;colonne;valeur
31;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
31;GLASSDOOR_SOC;secteur; Magasins de pièces automobiles et accessoires
32;GLASSDOOR_SOC;nom_entreprise;SeLoger
32;GLASSDOOR_SOC;ville;Paris
32;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
32;GLASSDOOR_SOC;secteur; Édition
33;GLASSDOOR_SOC;nom_entreprise;CNH Industrial
33;GLASSDOOR_SOC;ville;Londres, Angleterre (Royaume-Uni)
33;GLASSDOOR_SOC;taille;Plus de 10 000 employés
33;GLASSDOOR_SOC;secteur; Fabrication industrielle
34;GLASSDOOR_SOC;nom_entreprise;CNH Industrial Capital
34;GLASSDOOR_SOC;ville;Racine, WI (États-Unis)
34;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
34;GLASSDOOR_SOC;secteur; Entreprise cotée en bourse (CNHI) 
35;GLASSDOOR_SOC;nom_entreprise;SOTRAVO Filiale SOLOCAL GROUP
35;GLASSDOOR_SOC;ville;Montigny
35;GLASSDOOR_SOC;taille;Inconnu
35;GLASSDOOR_SOC;secteur; Inconnu
36;GLASSDOOR_SOC;nom_entreprise;SoLocal Group
36;GLASSDOOR_SOC;ville;Sèvres
36;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
36;GLASSDOOR_SOC;secteur; Services de télécommunications
37;GLASSDOOR_SOC;nom_entreprise;Morgan Philips Group
37;GLASSDOOR_SOC;ville;Luxembourg (Luxembourg)
37;GLASSDOOR_SOC;taille;De 51 à 200 employés
37;GLASSDOOR_SOC;secteur; Inconnu
38;GLASSDOOR_SOC;nom_entreprise;Morgan Philips Executive Search
38;GLASSDOOR_SOC;ville;Luxembourg (Luxembourg)
38;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
38;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
39;GLASSDOOR_SOC;nom_entreprise;Montreal Associates
39;GLASSDOOR_SOC;ville;Londres, Angleterre (Royaume-Uni)
39;GLASSDOOR_SOC;taille;De 51 à 200 employés
39;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
40;GLASSDOOR_SOC;nom_entreprise;STM
40;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
40;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
40;GLASSDOOR_SOC;secteur; Secteur ferroviaire
41;GLASSDOOR_SOC;nom_entreprise;Polytechnique Montréal
41;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
41;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
41;GLASSDOOR_SOC;secteur; Enseignement supérieur et universités
42;GLASSDOOR_SOC;nom_entreprise;BMO Financial Group
42;GLASSDOOR_SOC;ville;Toronto, ON (Canada)
42;GLASSDOOR_SOC;taille;Plus de 10 000 employés
42;GLASSDOOR_SOC;secteur; Banques et organismes de crédit
43;GLASSDOOR_SOC;nom_entreprise;Concordia University
43;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
43;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
43;GLASSDOOR_SOC;secteur; Enseignement supérieur et universités
44;GLASSDOOR_SOC;nom_entreprise;University of Montreal
44;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
44;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
44;GLASSDOOR_SOC;secteur; Enseignement supérieur et universités
45;GLASSDOOR_SOC;nom_entreprise;CRIM (Computer Research Institute of Montreal)
45;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
45;GLASSDOOR_SOC;taille;Inconnu
45;GLASSDOOR_SOC;secteur; Recherche et développement
46;GLASSDOOR_SOC;nom_entreprise;Eidos Montreal
46;GLASSDOOR_SOC;ville;Montréal, QC (Canada)
46;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
46;GLASSDOOR_SOC;secteur; Jeux vidéo
47;GLASSDOOR_SOC;nom_entreprise;Softeam
47;GLASSDOOR_SOC;ville;Paris
47;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
47;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
48;GLASSDOOR_SOC;nom_entreprise;NVIDIA
48;GLASSDOOR_SOC;ville;Santa Clara, CA (États-Unis)
48;GLASSDOOR_SOC;taille;Plus de 10 000 employés
48;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
49;GLASSDOOR_SOC;nom_entreprise;2S2I Solutions & Services
49;GLASSDOOR_SOC;ville;Montpellier
49;GLASSDOOR_SOC;taille;De 51 à 200 employés
49;GLASSDOOR_SOC;secteur; Services informatiques
50;GLASSDOOR_SOC;nom_entreprise;ALTRAN
50;GLASSDOOR_SOC;ville;Hambourg (Allemagne)
50;GLASSDOOR_SOC;taille;Inconnu
50;GLASSDOOR_SOC;secteur; Inconnu
51;GLASSDOOR_SOC;nom_entreprise;ALTRAD Group
51;GLASSDOOR_SOC;ville;Montpellier
51;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
51;GLASSDOOR_SOC;secteur; Inconnu
52;GLASSDOOR_SOC;nom_entreprise;Altran Group
52;GLASSDOOR_SOC;ville;Paris
52;GLASSDOOR_SOC;taille;Plus de 10 000 employés
52;GLASSDOOR_SOC;secteur; Services informatiques
53;GLASSDOOR_SOC;nom_entreprise;Altran Engineering Solution
53;GLASSDOOR_SOC;ville;Nice
53;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
53;GLASSDOOR_SOC;secteur; Entreprise non cotée en bourse
54;GLASSDOOR_SOC;nom_entreprise;Altran North America
54;GLASSDOOR_SOC;ville;New York, NY (États-Unis)
54;GLASSDOOR_SOC;taille;Plus de 10 000 employés
54;GLASSDOOR_SOC;secteur; Entreprise cotée en bourse
55;GLASSDOOR_SOC;nom_entreprise;Altran Telnet
55;GLASSDOOR_SOC;ville;Entre 201 et 500 employés
55;GLASSDOOR_SOC;taille; Inconnu
55;GLASSDOOR_SOC;secteur; Ne sait pas / non applicable par an
56;GLASSDOOR_SOC;nom_entreprise;Sephora
56;GLASSDOOR_SOC;ville;San Francisco, CA (États-Unis)
56;GLASSDOOR_SOC;taille;Plus de 10 000 employés
56;GLASSDOOR_SOC;secteur; Entreprise non cotée en bourse
57;GLASSDOOR_SOC;nom_entreprise;LVMH
57;GLASSDOOR_SOC;ville;Paris
57;GLASSDOOR_SOC;taille;Plus de 10 000 employés
57;GLASSDOOR_SOC;secteur; Autres magasins de détail
58;GLASSDOOR_SOC;nom_entreprise;Statkraft AS
58;GLASSDOOR_SOC;ville;Oslo (Norvège)
58;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
58;GLASSDOOR_SOC;secteur; Services publics de distribution
59;GLASSDOOR_SOC;nom_entreprise;Sparklane
59;GLASSDOOR_SOC;ville;Paris
59;GLASSDOOR_SOC;taille;De 1 à 50 employés
59;GLASSDOOR_SOC;secteur; Solutions logicielles et réseau d'entreprise
60;GLASSDOOR_SOC;nom_entreprise;Manpower
60;GLASSDOOR_SOC;ville;Uxbridge, Angleterre (Royaume-Uni)
60;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
60;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
61;GLASSDOOR_SOC;nom_entreprise;ITS
61;GLASSDOOR_SOC;ville;Burnaby, BC (Canada)
61;GLASSDOOR_SOC;taille;De 1 à 50 employés
61;GLASSDOOR_SOC;secteur; Biotechnologies et pharmaceutique
62;GLASSDOOR_SOC;nom_entreprise;ITS Group
62;GLASSDOOR_SOC;ville;Boulogne-Billancourt
62;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
62;GLASSDOOR_SOC;secteur; Services informatiques
63;GLASSDOOR_SOC;nom_entreprise;Loria
63;GLASSDOOR_SOC;ville;Vandoeuvre
63;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
63;GLASSDOOR_SOC;secteur; Recherche et développement
64;GLASSDOOR_SOC;nom_entreprise;ITS Overlap
64;GLASSDOOR_SOC;ville;Nanterre
64;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
64;GLASSDOOR_SOC;secteur; Production animale
65;GLASSDOOR_SOC;nom_entreprise;Canon ITS
65;GLASSDOOR_SOC;ville;Chesapeake, VA (États-Unis)
65;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
65;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
66;GLASSDOOR_SOC;nom_entreprise;Groupe SII
66;GLASSDOOR_SOC;ville;Paris
66;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
66;GLASSDOOR_SOC;secteur; Services informatiques
67;GLASSDOOR_SOC;nom_entreprise;Sii Poland
67;GLASSDOOR_SOC;ville;Varsovie (Pologne)
67;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
67;GLASSDOOR_SOC;secteur; Services informatiques
68;GLASSDOOR_SOC;nom_entreprise;cerema
68;GLASSDOOR_SOC;ville;Bron, Rhône-Alpes
68;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
68;GLASSDOOR_SOC;secteur; Inconnu
69;GLASSDOOR_SOC;nom_entreprise;Paris Inn Group
69;GLASSDOOR_SOC;ville;Paris
69;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
69;GLASSDOOR_SOC;secteur; Inconnu
70;GLASSDOOR_SOC;nom_entreprise;Groupe Altice Média
70;GLASSDOOR_SOC;ville;Paris
70;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
70;GLASSDOOR_SOC;secteur; Inconnu
71;GLASSDOOR_SOC;nom_entreprise;CALIDA Group
71;GLASSDOOR_SOC;ville;Sursee (Suisse)
71;GLASSDOOR_SOC;taille;Inconnu
71;GLASSDOOR_SOC;secteur; Inconnu
72;GLASSDOOR_SOC;nom_entreprise;Logware
72;GLASSDOOR_SOC;ville;Paris
72;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
72;GLASSDOOR_SOC;secteur; Conseils
73;GLASSDOOR_SOC;nom_entreprise;Fortuneo SA
73;GLASSDOOR_SOC;ville;Paris
73;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
73;GLASSDOOR_SOC;secteur; Banques et organismes de crédit
74;GLASSDOOR_SOC;nom_entreprise;Adsearch
74;GLASSDOOR_SOC;ville;Paris
74;GLASSDOOR_SOC;taille;De 51 à 200 employés
74;GLASSDOOR_SOC;secteur; Inconnu
75;GLASSDOOR_SOC;nom_entreprise;Groupe Adéquat
75;GLASSDOOR_SOC;ville;Lyon
75;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
75;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
76;GLASSDOOR_SOC;nom_entreprise;Teads
76;GLASSDOOR_SOC;ville;Luxembourg (Luxembourg)
76;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
76;GLASSDOOR_SOC;secteur; Publicité et marketing
77;GLASSDOOR_SOC;nom_entreprise;Datadog
77;GLASSDOOR_SOC;ville;New York, NY (États-Unis)
77;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
77;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
78;GLASSDOOR_SOC;nom_entreprise;LVMH
78;GLASSDOOR_SOC;ville;Paris
78;GLASSDOOR_SOC;taille;Plus de 10 000 employés
78;GLASSDOOR_SOC;secteur; Autres magasins de détail
79;GLASSDOOR_SOC;nom_entreprise;CELINE
79;GLASSDOOR_SOC;ville;Paris
79;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
79;GLASSDOOR_SOC;secteur; Cabinet / Société du secteur privé
80;GLASSDOOR_SOC;nom_entreprise;Les Echos
80;GLASSDOOR_SOC;ville;Paris
80;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
80;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
81;GLASSDOOR_SOC;nom_entreprise;Kendo
81;GLASSDOOR_SOC;ville;San Francisco, CA (États-Unis)
81;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
81;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
82;GLASSDOOR_SOC;nom_entreprise;Sanofi
82;GLASSDOOR_SOC;ville;Paris
82;GLASSDOOR_SOC;taille;Plus de 10 000 employés
82;GLASSDOOR_SOC;secteur; Biotechnologies et pharmaceutique
83;GLASSDOOR_SOC;nom_entreprise;Sanofi Pasteur
83;GLASSDOOR_SOC;ville;Inconnu
83;GLASSDOOR_SOC;taille; Inconnu
83;GLASSDOOR_SOC;secteur; Ne sait pas / non applicable par an
84;GLASSDOOR_SOC;nom_entreprise;Merial
84;GLASSDOOR_SOC;ville;Harlow, Angleterre (Royaume-Uni)
84;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
84;GLASSDOOR_SOC;secteur; Fabrication de produits grand public
85;GLASSDOOR_SOC;nom_entreprise;Groupe Crédit Agricole
85;GLASSDOOR_SOC;ville;Montrouge
85;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
85;GLASSDOOR_SOC;secteur; Investissements bancaires et gestion d'actifs
86;GLASSDOOR_SOC;nom_entreprise;Groupe Crédit Agricole du Maroc
86;GLASSDOOR_SOC;ville;Rabat (Maroc)
86;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
86;GLASSDOOR_SOC;secteur; Banques et organismes de crédit
87;GLASSDOOR_SOC;nom_entreprise;CACIB
87;GLASSDOOR_SOC;ville;Paris
87;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
87;GLASSDOOR_SOC;secteur; Entreprise non cotée en bourse
88;GLASSDOOR_SOC;nom_entreprise;Crédit Agricole d'Ile de France
88;GLASSDOOR_SOC;ville;Paris
88;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
88;GLASSDOOR_SOC;secteur; Inconnu
89;GLASSDOOR_SOC;nom_entreprise;Crédit Agricole d'Aquitaine
89;GLASSDOOR_SOC;ville;Bordeaux, Aquitaine
89;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
89;GLASSDOOR_SOC;secteur; Inconnu
90;GLASSDOOR_SOC;nom_entreprise;Crédit Agricole
90;GLASSDOOR_SOC;ville;Paris
90;GLASSDOOR_SOC;taille;Inconnu
90;GLASSDOOR_SOC;secteur; Inconnu
91;GLASSDOOR_SOC;nom_entreprise;Lectra
91;GLASSDOOR_SOC;ville;Paris
91;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
91;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
92;GLASSDOOR_SOC;nom_entreprise;Sopra Steria
92;GLASSDOOR_SOC;ville;Annecy-le-Vieux
92;GLASSDOOR_SOC;taille;Plus de 10 000 employés
92;GLASSDOOR_SOC;secteur; Services informatiques
93;GLASSDOOR_SOC;nom_entreprise;Sopra Steria Recruitment
93;GLASSDOOR_SOC;ville;Reading, Angleterre (Royaume-Uni)
93;GLASSDOOR_SOC;taille;De 51 à 200 employés
93;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
94;GLASSDOOR_SOC;nom_entreprise;CITECH
94;GLASSDOOR_SOC;ville;Paris
94;GLASSDOOR_SOC;taille;De 51 à 200 employés
94;GLASSDOOR_SOC;secteur; Services informatiques
95;GLASSDOOR_SOC;nom_entreprise;Group Adaming
95;GLASSDOOR_SOC;ville;Paris
95;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
95;GLASSDOOR_SOC;secteur; Services informatiques
96;GLASSDOOR_SOC;nom_entreprise;Micropole
96;GLASSDOOR_SOC;ville;Levallois-Perret
96;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
96;GLASSDOOR_SOC;secteur; Conseils
97;GLASSDOOR_SOC;nom_entreprise;alptis assurances
97;GLASSDOOR_SOC;ville;Lyon
97;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
97;GLASSDOOR_SOC;secteur; Inconnu
98;GLASSDOOR_SOC;nom_entreprise;Plastic Omnium
98;GLASSDOOR_SOC;ville;Plus de 10 000 employés
98;GLASSDOOR_SOC;taille; 1946
98;GLASSDOOR_SOC;secteur; Entre 2 et 5 milliards € (EUR) par an
99;GLASSDOOR_SOC;nom_entreprise;Mixt Composites Recyclables
99;GLASSDOOR_SOC;ville;Tournon-sur-Rhône
99;GLASSDOOR_SOC;taille;Inconnu
99;GLASSDOOR_SOC;secteur; Inconnu
100;GLASSDOOR_SOC;nom_entreprise;Astek
100;GLASSDOOR_SOC;ville;Paris
100;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
100;GLASSDOOR_SOC;secteur; Services informatiques
101;GLASSDOOR_SOC;nom_entreprise;Astek Group
101;GLASSDOOR_SOC;ville;Altrincham, Angleterre (Royaume-Uni)
101;GLASSDOOR_SOC;taille;De 1 à 50 employés
101;GLASSDOOR_SOC;secteur; Fabrication de produits de soins de santé
102;GLASSDOOR_SOC;nom_entreprise;Keyrus Group
102;GLASSDOOR_SOC;ville;Levallois-Perret
102;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
102;GLASSDOOR_SOC;secteur; Services informatiques
103;GLASSDOOR_SOC;nom_entreprise;Yongzhi Plastic Electronics (Shenzhen) Co.
103;GLASSDOOR_SOC;ville;Hong Kong (Hong Kong)
103;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
103;GLASSDOOR_SOC;secteur; Fabrication industrielle
104;GLASSDOOR_SOC;nom_entreprise;Thales
104;GLASSDOOR_SOC;ville;Nanterre
104;GLASSDOOR_SOC;taille;Plus de 10 000 employés
104;GLASSDOOR_SOC;secteur; Aérospatiale et Défense
105;GLASSDOOR_SOC;nom_entreprise;Thales-Raytheon Systems
105;GLASSDOOR_SOC;ville;Fullerton, CA (États-Unis)
105;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
105;GLASSDOOR_SOC;secteur; Gestion des transports
106;GLASSDOOR_SOC;nom_entreprise;L&T Thales Technology Services
106;GLASSDOOR_SOC;ville;Plus de 10 000 employés
106;GLASSDOOR_SOC;taille; Inconnu
106;GLASSDOOR_SOC;secteur; Ne sait pas / non applicable par an
107;GLASSDOOR_SOC;nom_entreprise;JEMS Group
107;GLASSDOOR_SOC;ville;Neuilly
107;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
107;GLASSDOOR_SOC;secteur; Services informatiques
108;GLASSDOOR_SOC;nom_entreprise;Capgemini
108;GLASSDOOR_SOC;ville;Paris
108;GLASSDOOR_SOC;taille;Plus de 10 000 employés
108;GLASSDOOR_SOC;secteur; Solutions logicielles et réseau d'entreprise
109;GLASSDOOR_SOC;nom_entreprise;Capgemini Invent
109;GLASSDOOR_SOC;ville;Courbevoie
109;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
109;GLASSDOOR_SOC;secteur; Entreprise cotée en bourse
110;GLASSDOOR_SOC;nom_entreprise;Open
110;GLASSDOOR_SOC;ville;Levallois-Perret
110;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
110;GLASSDOOR_SOC;secteur; Services d'architecture et d'ingénierie
111;GLASSDOOR_SOC;nom_entreprise;Open Minds Open Hearts Day Care
111;GLASSDOOR_SOC;ville;New Orleans, LA (États-Unis)
111;GLASSDOOR_SOC;taille;De 1 à 50 employés
111;GLASSDOOR_SOC;secteur; Inconnu
112;GLASSDOOR_SOC;nom_entreprise;OpenText
112;GLASSDOOR_SOC;ville;Waterloo, ON (Canada)
112;GLASSDOOR_SOC;taille;Plus de 10 000 employés
112;GLASSDOOR_SOC;secteur; Solutions logicielles et réseau d'entreprise
113;GLASSDOOR_SOC;nom_entreprise;Open Sourcing
113;GLASSDOOR_SOC;ville;Paris
113;GLASSDOOR_SOC;taille;De 1 à 50 employés
113;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
114;GLASSDOOR_SOC;nom_entreprise;Artefact
114;GLASSDOOR_SOC;ville;Paris
114;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
114;GLASSDOOR_SOC;secteur; Conseils
115;GLASSDOOR_SOC;nom_entreprise;Artefact Group
115;GLASSDOOR_SOC;ville;Seattle, WA (États-Unis)
115;GLASSDOOR_SOC;taille;De 51 à 200 employés
115;GLASSDOOR_SOC;secteur; Conseils
116;GLASSDOOR_SOC;nom_entreprise;Artefacts Studio
116;GLASSDOOR_SOC;ville;Villeurbanne
116;GLASSDOOR_SOC;taille;De 1 à 50 employés
116;GLASSDOOR_SOC;secteur; Inconnu
117;GLASSDOOR_SOC;nom_entreprise;Openfield Live
117;GLASSDOOR_SOC;ville;Paris
117;GLASSDOOR_SOC;taille;De 1 à 50 employés
117;GLASSDOOR_SOC;secteur; Inconnu
